area,floor,floors_total,latitude,longitude,price,rooms,year
31.0,7,9,53.25194000000001,50.249251,1550000,1,1979
38.5,8,9,53.11113,50.14457,2200000,1,2017
30.7,2,5,53.201186,50.153697,2100000,1,1964
93.0,7,9,53.261911,50.211665,7650000,3,2011
31.0,7,9,53.248099,50.21109000000001,2300000,1,1986
36.0,4,10,53.30733100000001,50.286109,2100000,1,0
34.7,3,9,53.093543,50.165348,1650000,1,2017
33.9,2,3,53.319619,50.314477,1650000,1,2012
32.0,4,5,53.243061,50.247212,1690000,1,1968
127.0,3,14,53.232627,50.224547,7000000,4,2000
55.0,8,12,53.194751,50.147094,3590000,2,1984
92.0,5,19,53.262046,50.183647,6199000,3,2013
68.0,5,9,53.244553,50.060649,3790000,3,1972
40.4,1,3,53.18768299999999,50.100696,2300000,2,0
87.7,13,14,53.233592,50.2232,6150000,3,2002
33.0,3,5,53.192765,50.119444,2370000,1,1963
106.0,4,17,53.239811,50.180062,7500000,2,2011
43.3,2,9,53.187764,50.194373,2850000,2,1977
256.0,7,8,53.187704,50.08235300000001,35000000,4,1
75.0,9,10,53.233538,50.2247,4399000,2,1999
69.1,3,9,53.255539,50.220244,3850000,3,1981
52.0,12,12,53.201186,50.144875,3300000,2,1979
208.0,8,25,53.222471,50.051271,23000000,4,2008
32.4,2,5,53.122512,50.087249,1520000,1,1963
43.5,5,5,53.190273,50.174592,2299000,2,1962
45.0,5,5,53.22483199999999,50.19113,2300000,2,1965
51.0,3,25,53.18970600000001,50.148199,2100000,1,1985
35.0,3,3,53.445472,49.79737100000001,1569000,1,2016
31.0,5,5,53.241573,50.231392,1800000,1,1967
23.0,6,9,53.235095,50.206221,1550000,1,1977
33.0,1,2,53.225889,50.235614,1150000,1,1958
123.0,12,14,53.20279300000001,50.122561,9600000,3,2009
21.0,4,5,53.215559,50.272733,950000,1,1976
34.0,2,9,53.235095,50.054667,2299000,1,1971
75.0,13,17,53.225145,50.152143,4100000,3,1926
43.2,7,9,53.242867,50.226757,2900000,2,1979
50.0,9,9,53.245927,50.074097,3200000,2,1973
111.5,20,25,53.222471,50.051271,18500000,3,2008
73.0,9,10,53.194826,50.141875,4300000,3,1994
75.0,21,22,53.217257,50.163866,6600000,2,1966
68.6,1,9,53.25403000000001,50.221439,3600000,3,1981
46.0,4,5,53.253928,50.243681,2690000,2,1971
43.0,2,16,53.152083,50.07566,2350000,1,2017
61.7,20,20,53.191859,50.140213,3085500,1,1990
