price,longitude,latitude,rooms,area,floor,floors_total,year
2800000,50.2451,53.24710200000001,2,44.4,5,9,0
6350000,50.192567,53.221813,2,86.0,10,12,0
7300000,50.115599,53.195463,2,72.8,8,14,0
2400000,50.183332,53.19618000000001,2,42.8,1,5,0
2150000,50.247831,53.24596500000001,2,44.0,5,5,0
8300000,50.0837,53.190003,2,76.0,3,6,0
1650000,50.220244,53.346887,2,42.0,4,4,0
8800000,50.10178300000001,53.195538,2,76.0,24,25,0
6900000,50.164953,53.21146,2,82.0,14,17,0
1550000,50.117504,53.188789,2,35.0,1,3,0
2450000,50.19678,53.1959,2,44.0,1,5,0
2000000,50.169067,53.38944,2,45.0,4,5,0
6000000,50.213641,53.261437,2,66.0,16,20,0
6950000,50.184779,53.24035500000001,2,78.2,3,21,0
2200000,50.176065,53.394547,2,52.0,3,5,0
6500000,50.1815,53.237116,2,60.0,22,24,0
2164800,50.327332,53.297941,2,46.0,1,5,0
6280000,50.182668,53.24130400000001,2,77.0,15,19,0
2640000,50.078957,53.147374,2,65.0,14,16,0
6990000,50.190231,53.248174,2,83.0,6,9,0
2500000,50.260884,53.250372,2,46.1,4,9,0
7500000,50.083682,53.188141,2,110.0,8,9,0
2406950,50.3194,53.298878,2,52.9,2,9,0
2700000,50.219633,53.237607,2,54.0,12,12,0
7300000,50.118609,53.19915200000001,2,83.0,5,16,0
6490000,50.106032,53.185001,2,84.0,3,12,0
2950000,50.177269,53.24166999999999,2,57.2,10,11,0
8500000,50.10178300000001,53.195538,2,78.5,8,9,0
2550000,50.228536,53.247544,2,45.0,1,9,0
6700000,50.110829,53.192226,2,68.0,2,9,0
2650000,50.237465,53.21263100000001,2,46.0,3,5,0
7200000,50.151757,53.224266,2,102.0,10,23,0
2150000,50.250823,53.200889,2,52.0,5,5,0
6400000,50.166444,53.216998,2,76.0,14,22,0
2450000,50.212411,53.227759,2,45.0,2,5,0
6199000,50.174214,53.22411500000001,2,80.0,2,10,0
2299000,50.313031,53.318936,2,51.0,3,3,0
