area,floor,price,rooms,floors_total,year,latitude,longitude
31.0,7,1550000,1,9,1979,53.251940000000005,50.249251
38.5,8,2200000,1,9,2017,53.11113,50.14457
30.7,2,2100000,1,5,1964,53.201186,50.153696999999994
93.0,7,7650000,3,9,2011,53.261911,50.211665
31.0,7,2300000,1,9,1986,53.248098999999996,50.211090000000006
36.0,4,2100000,1,10,0,53.307331000000005,50.286109
34.7,3,1650000,1,9,2017,53.093543000000004,50.165348
33.9,2,1650000,1,3,2012,53.319618999999996,50.314477000000004
32.0,4,1690000,1,5,1968,53.243061,50.247212
127.0,3,7000000,4,14,2000,53.232627,50.224546999999994
55.0,8,3590000,2,12,1984,53.194751000000004,50.147094
92.0,5,6199000,3,19,2013,53.262046,50.183647
68.0,5,3790000,3,9,1972,53.244553,50.060649
40.4,1,2300000,2,3,0,53.18768299999999,50.100696
87.7,13,6150000,3,14,2002,53.233592,50.2232
33.0,3,2370000,1,5,1963,53.192765,50.119444
106.0,4,7500000,2,17,2011,53.239810999999996,50.180062
43.3,2,2850000,2,9,1977,53.187764,50.194373
256.0,7,35000000,4,8,1,53.187704000000004,50.082353000000005
75.0,9,4399000,2,10,1999,53.233538,50.2247
69.1,3,3850000,3,9,1981,53.255539,50.220244
52.0,12,3300000,2,12,1979,53.201186,50.144875
208.0,8,23000000,4,25,2008,53.222471,50.051271
32.4,2,1520000,1,5,1963,53.122512,50.087249
43.5,5,2299000,2,5,1962,53.190273,50.174592
45.0,5,2300000,2,5,1965,53.22483199999999,50.19113
51.0,3,2100000,1,25,1985,53.18970600000001,50.148199
35.0,3,1569000,1,3,2016,53.445471999999995,49.797371000000005
31.0,5,1800000,1,5,1967,53.241572999999995,50.231392
23.0,6,1550000,1,9,1977,53.235094999999994,50.206221
33.0,1,1150000,1,2,1958,53.225889,50.235614
123.0,12,9600000,3,14,2009,53.20279300000001,50.122561
21.0,4,950000,1,5,1976,53.215559,50.272733
34.0,2,2299000,1,9,1971,53.235094999999994,50.054666999999995
75.0,13,4100000,3,17,1926,53.225145,50.152143
43.2,7,2900000,2,9,1979,53.242867000000004,50.226757
50.0,9,3200000,2,9,1973,53.245927,50.074096999999995
111.5,20,18500000,3,25,2008,53.222471,50.051271
73.0,9,4300000,3,10,1994,53.194826,50.141875
75.0,21,6600000,2,22,1966,53.217257,50.163866
68.6,1,3600000,3,9,1981,53.25403000000001,50.221439000000004
46.0,4,2690000,2,5,1971,53.253928,50.243681
43.0,2,2350000,1,16,2017,53.152083,50.07566
61.7,20,3085500,1,20,1990,53.191858999999994,50.140213
74.5,4,3299000,3,9,0,53.299927000000004,50.274853
78.5,3,6650000,2,9,2004,53.18520600000001,50.081499
115.0,5,6550000,3,10,2013,53.245415,50.204353000000005
39.0,8,1380000,1,9,1974,53.12556,50.095028000000006
60.4,3,1800000,3,5,1975,53.487781999999996,49.852447
72.0,2,5100000,2,10,2007,53.19690799999999,50.195271000000005
44.1,18,2513700,1,27,0,53.215768999999995,50.261701
109.0,5,14900000,3,11,2007,53.191303000000005,50.11692
53.8,3,2350000,2,10,1997,53.232751,50.296224
64.0,9,3700000,3,9,1989,53.250981,50.258359999999996
44.0,2,2400000,2,5,1962,53.201111,50.193807
60.0,9,2690000,3,9,1973,53.24395,50.259788
44.0,3,2500000,2,5,1967,53.195236,50.165914
47.0,2,3000000,1,3,2014,53.250459,50.388292
41.3,7,1790000,1,12,1978,53.198041,50.141282000000004
108.8,10,5500000,3,16,2000,53.259331,50.239944
54.0,9,4100000,2,9,1986,53.24710699999999,50.214612
43.7,2,2600000,2,5,1960,53.200927,50.210192
34.5,5,3100000,1,18,2014,53.25549,50.198631
64.0,2,1690000,3,2,1960,53.250604,50.355081
35.8,9,1850000,1,10,1997,53.146251,50.059796
39.7,1,1667400,1,16,0,53.146947,50.078113
36.4,2,1405000,1,3,2016,53.308547,50.316238
55.6,5,2700000,3,5,1965,53.18676,50.199511
61.0,5,2350000,3,5,1982,53.120318000000005,50.080233
59.0,6,5500000,1,16,2012,53.244294999999994,50.058709
70.8,3,3790000,3,10,1989,53.25048,50.202475
45.0,9,4000000,1,16,1999,53.201493000000006,50.138354
22.0,5,1550000,1,9,1975,53.250539,50.238318
43.0,4,2550000,2,5,1967,53.235629,50.242828
21.5,7,1750000,1,9,1977,53.237655000000004,50.208665
42.0,9,2500000,1,10,2010,53.147493000000004,50.061539
34.0,8,2247000,1,12,1980,53.259164,50.234096
46.0,3,2050000,2,5,1962,53.208154,50.226344
54.0,2,3550000,2,12,1984,53.211137,50.143671999999995
32.7,9,2295000,1,12,1976,53.240786,50.215034
90.0,24,12000000,2,24,2015,53.218993000000005,50.167711
22.0,7,1900000,1,9,1978,53.199594999999995,50.133287
80.5,1,4195000,3,2,1941,53.224309,50.253158
52.0,2,2500000,3,5,1974,53.34114,50.221205
59.8,3,3050000,3,9,1975,53.254968000000005,50.263237
36.1,3,1550000,1,3,2011,53.319511,50.30977
33.0,5,1850000,1,5,1963,53.207901,50.232731
83.7,5,5600000,2,10,2006,53.232972,50.251919
13.0,1,889000,1,5,0,53.236653000000004,50.282614
119.0,2,8850000,3,5,1,53.188881,50.095684000000006
31.0,1,1700000,1,9,1982,53.250825,50.230126
58.0,13,5088000,2,14,2011,53.244294999999994,50.058709
30.0,5,1420000,1,5,1962,53.239132,50.281788
56.5,4,3400000,2,13,0,53.188379000000005,50.142790999999995
52.5,2,4499000,2,5,1931,53.246261,50.062689
43.4,2,1545000,1,10,2015,53.435576,50.122076
59.0,5,2450000,3,5,1965,53.213224,50.194283
32.5,11,2022000,0,24,0,53.22156999999999,50.169202
42.0,9,2800000,1,10,1,53.219317000000004,50.244238
49.0,2,3500000,2,3,1954,53.193994999999994,50.130206
89.0,4,6300000,3,9,2010,53.244547999999995,50.203346999999994
55.9,2,5000000,2,4,1,53.188508,50.09448
90.0,3,3600000,4,4,1955,53.22616899999999,50.261567
59.9,3,2450000,2,5,2007,53.228465,50.279847
54.0,3,4040000,3,9,1968,53.207124,50.133027
92.0,22,5500000,3,24,1978,53.217764,50.193241
30.7,5,1750000,1,5,1960,53.211611,50.255772
40.0,1,2200000,1,10,2005,53.236761,50.262627
30.0,1,1670000,1,5,1970,53.247129,50.234132
67.3,5,6200000,3,9,1970,53.213331999999994,50.130448
36.0,13,2300000,1,16,2014,53.154827000000004,50.075965999999994
20.0,1,950000,1,3,1878,53.178293000000004,50.074268
184.0,2,11000000,4,10,2009,53.239881000000004,50.060515
40.0,6,2250000,1,9,1956,53.212695,50.247229
54.0,12,3800000,2,12,1988,53.255295999999994,50.218123999999996
44.0,1,2150000,2,5,1968,53.242732,50.238201000000004
34.5,2,1590000,1,3,2014,53.327493000000004,50.315439000000005
46.0,4,2650000,2,12,1970,53.235268000000005,50.211054
76.6,2,3200000,4,5,1974,53.123684999999995,50.09413
50.0,3,3100000,2,9,1977,53.24155699999999,50.209284999999994
48.0,12,2641100,1,18,2016,53.186339000000004,50.134868
58.0,1,2850000,3,5,1968,53.229473,50.274978000000004
62.6,5,2700000,3,5,1977,53.228692,50.271664
85.0,1,7900000,3,16,1977,53.214453000000006,50.131904
45.0,5,2899000,2,9,1986,53.250103,50.209518
100.0,3,7300000,2,9,2015,53.201364,50.123424
60.0,7,3580000,3,9,1979,53.25741899999999,50.228518
55.0,5,2700000,3,5,1977,53.342156,50.217665999999994
22.0,8,1947000,1,9,1975,53.209352,50.143788
30.0,8,1650000,2,9,1991,53.194125,50.218888
46.0,1,2500000,2,5,1967,53.239078000000006,50.223046999999994
44.0,2,1690000,2,2,1959,53.347258,50.209896
60.8,3,3800000,4,5,1978,53.200075,50.22461
23.0,2,1300000,1,5,1972,53.22240600000001,50.231994
39.0,1,1930000,1,10,0,53.306503,50.286809000000005
32.0,5,2150000,1,5,1962,53.210468000000006,50.171475
77.0,3,4500000,3,9,1986,53.214329000000006,50.159123
62.0,4,3500000,3,9,1971,53.253686,50.230979
44.3,4,1904900,1,27,0,53.215768999999995,50.261701
87.0,3,5850000,2,9,2004,53.183009999999996,50.099816
40.0,5,2150000,1,16,0,53.146747999999995,50.077151
34.0,9,2000000,1,9,1972,53.234492,50.28009
127.0,1,4690000,3,3,1917,53.191228,50.110569
125.0,2,6600000,3,10,2007,53.233403,50.25367
44.3,8,3000000,1,18,2010,53.209070999999994,50.207659
72.0,4,3590000,3,4,1954,53.215348,50.253212
42.2,1,2150000,2,3,1962,53.22190500000001,50.231617
33.0,9,2600000,1,10,1966,53.18715400000001,50.197472
70.0,1,3880000,3,9,1976,53.199034,50.143249
44.0,4,2700000,2,5,1967,53.235085,50.24431
49.0,1,2000000,1,3,1972,53.201353000000005,50.288094
366.0,4,2000000,1,9,1980,53.235963,50.24625
23.0,5,1150000,2,5,1971,53.237963,50.23539
29.0,5,2100000,1,9,1968,53.22957099999999,50.209922
31.0,2,1100000,1,5,1968,53.487182,49.847264
52.0,1,1850000,3,5,1966,53.486844,49.851611
68.0,5,4450000,2,12,1987,53.241363,50.192854
62.6,1,3050000,3,5,1970,53.252311999999996,50.238273
34.1,2,1149000,1,2,1980,53.138332,50.2383
59.8,9,3450000,3,9,1974,53.245114,50.235282
68.3,2,3800000,3,4,1975,53.246109999999994,50.061296
85.0,9,5300000,4,10,1992,53.236335,50.256563
44.0,3,2800000,2,5,1960,53.23928299999999,50.279353
17.0,3,950000,1,5,1973,53.210242,50.220945
34.0,5,1900000,1,10,1981,53.209913,50.284537
108.2,4,7900000,3,12,2001,53.189533,50.118429
30.0,1,1400000,1,2,0,53.224902,50.263956
100.0,4,8700000,4,6,1917,53.180878,50.078481
43.1,2,2200000,2,4,1917,53.184974,50.089341999999995
34.1,4,1550000,1,5,1994,53.107184,50.084661
72.0,1,2800000,3,2,1950,53.188168000000005,50.127484
43.5,2,2550000,2,9,1969,53.235726,50.230548
60.0,7,3400000,3,9,1979,53.25731700000001,50.229631
57.5,9,3700000,2,12,1979,53.201186,50.144875
31.0,9,1950000,1,9,1979,53.24423,50.22399
78.0,1,3600000,4,5,1979,53.154362,50.089403999999995
90.0,2,5200000,3,10,2011,53.230918,50.247283
31.0,2,1330000,1,3,1964,53.319618999999996,50.314477000000004
34.0,9,1950000,1,9,1984,53.22446,50.271457
56.6,6,3699000,2,12,1994,53.207480000000004,50.216902000000005
33.3,7,2200000,1,12,1979,53.199735,50.151855
97.0,12,5650000,3,16,2004,53.247328,50.188641
73.0,6,4990000,2,17,2014,53.262278,50.222786
60.0,15,5600000,2,16,2013,53.254073999999996,50.201712
53.7,2,2850000,2,10,2002,53.182497,50.208377
30.0,1,1900000,1,5,1970,53.253513,50.237402
44.0,6,2780000,2,9,1977,53.200787,50.137896000000005
213.0,3,20500000,4,7,2002,53.197556000000006,50.112328999999995
54.0,7,1800000,2,10,1995,53.112649,50.085190999999995
38.0,12,2500000,1,16,1971,53.194114,50.181051000000004
46.0,3,2750000,1,19,2010,53.209281999999995,50.207802
76.5,9,3200000,2,10,2011,53.142049,50.040294
50.2,4,3750000,1,9,1,53.224153,50.150202
46.0,8,2980000,1,10,1989,53.214426,50.157721
41.1,1,2200000,2,9,1968,53.24105,50.222238
50.8,11,2649000,1,12,2001,53.239396,50.276407
42.8,1,2400000,2,5,1963,53.196180000000005,50.183332
55.0,4,2700000,2,5,0,53.214059999999996,50.170433
42.7,8,1800000,2,9,1987,53.214468999999994,50.222957
55.0,4,2900000,3,4,1960,53.237143,50.27647
45.0,3,2190000,2,5,1964,53.1916,50.209312
58.0,1,2650000,3,5,1964,53.188816,50.205413
80.0,11,5700000,2,20,2007,53.261437,50.213640999999996
29.3,5,1650000,1,5,1979,53.216443000000005,50.239342
47.0,2,1400000,3,2,1,53.188087,50.100544
46.0,11,2950000,1,12,2011,53.207874,50.206787
38.0,1,1550000,1,3,2013,53.323873,50.312717
46.0,3,2500000,2,3,2013,53.314713,50.311513
78.6,3,5690000,3,19,2014,53.256060999999995,50.199484000000005
43.5,5,2500000,2,5,1963,53.220383999999996,50.26843
150.0,7,14000000,4,9,2007,53.192226,50.110828999999995
68.0,7,3450000,3,9,1980,53.26315,50.234258000000004
74.0,3,3100000,4,5,1974,53.247797,50.267657
152.1,10,21000000,5,25,0,53.200129000000004,50.10702
55.0,4,3600000,2,14,2016,53.25831899999999,50.218654
74.0,3,3050000,3,10,1995,53.112649,50.085190999999995
56.0,1,2100000,3,5,1964,53.485628000000005,49.848449
52.6,5,3000000,2,5,1977,53.212091,50.166363
43.0,1,2200000,2,5,1977,53.142805,50.04412
72.0,24,4250000,2,25,2015,53.240964,50.186476
68.0,4,4000000,3,5,2014,53.11753,50.161171
72.5,1,2590000,2,5,0,53.228465,50.279847
79.8,5,3000000,2,5,1,53.17766700000001,50.077017
53.0,20,4000000,1,22,2013,53.217613,50.168977000000005
28.0,6,1850000,1,7,2016,53.114318999999995,50.148216999999995
49.6,2,1900000,2,3,2011,53.326283,50.313148
31.9,3,2100000,1,3,1888,53.189009999999996,50.098028
60.0,1,1899000,3,5,1965,53.14509,50.041047999999996
45.0,2,2200000,2,3,2011,53.319171999999995,50.309025
47.0,4,2200000,2,5,1972,53.34135,50.227529
71.0,4,3200000,3,4,1967,53.215575,50.251622
57.1,3,4800000,2,3,1917,53.186005,50.096455999999996
54.0,1,3500003,3,12,1972,53.235094999999994,50.054666999999995
48.0,5,2750000,1,18,2016,53.222579,50.189683
57.2,5,4897000,1,22,2014,53.222039,50.153453999999996
62.8,1,2450000,4,5,1968,53.10941700000001,50.079775
50.3,12,2650000,2,12,1979,53.251127000000004,50.250077000000005
33.0,2,2150000,1,9,1972,53.243093,50.233952
69.3,9,3600000,3,12,1982,53.255076,50.227574
64.0,8,4300000,2,9,2012,53.244785,50.185354
108.0,4,7800000,4,9,2007,53.215343000000004,50.164567
