adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Самара, Ташкентская улица, 141, Кировский, Самара, Самарская область",31.0,7/9,1550000,1,9.0,1979.0,53.25194,50.249251
"жилой район Южный Город - 1, Волжский район, Самарская область, Подстепновская улица, 20, подъезд 2, Самара, Самарская область",38.5,8/9,2200000,1,10.0,2017.0,53.11113,50.14457
"Самара, Пролетарская улица, 167, Железнодорожный, Самара, Самарская область",30.7,2/5,2100000,1,5,1964,53.201186,50.153697
"Самарская область,Самара,Промышленный район,Кирова проспект,435, Промышленный, Самара, Самарская область",93.0,7/9,7650000,3,10.0,2011.0,53.261911,50.211665
"Самара, улица Аминева, 11, Промышленный, Самара, Самарская область",31.0,7/9,2300000,1,9.0,1986.0,53.248099,50.21109
"Самара, посёлок Мехзавод, 1-й квартал, 53, Красноглинский, Самара, Самарская область",36.0,4/10,2100000,1,,,53.307331,50.286109
"жилой район Южный Город - 2, Волжский район, Самарская область, Губернаторская улица, 37, подъезд 1, Самара, Самарская область",34.7,3/9,1650000,1,10.0,2017.0,53.093543,50.165348
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Маршала Устинова, дом 7, Красноглинский, Самара, Самарская область",33.9,2/3,1650000,1,3.0,2012.0,53.319619,50.314477
"Самара, проспект Карла Маркса, 432, Кировский, Самара, Самарская область",32.0,4/5,1690000,1,5.0,1968.0,53.243061,50.247212
"Самара, Ново-Вокзальная улица, 155А, Промышленный, Самара, Самарская область",127.0,3/14,7000000,4,14.0,2000.0,53.232627,50.224547
"Самара, Пензенская улица, 74, Железнодорожный, Самара, Самарская область",55.0,8/12,3590000,2,12.0,1984.0,53.194751,50.147094
"Самара, 7-я просека, 114, Промышленный, Самара, Самарская область",92.0,5/19,6199000,3,20.0,2013.0,53.262046,50.183647
"Самара, Гаражная улица, 20, Октябрьский, Самара, Самарская область",68.0,5/9,3790000,3,9,1972,53.244553,50.060649
"Самара, Некрасовская улица, 71, Самарский, Самара, Самарская область",40.4,1/3,2300000,2,,,53.187683,50.100696
"Ново-Вокзальная165а, Промышленный, Самара, Самарская область",87.7,13/14,6150000,3,10,2002,53.233592,50.2232
"Самара, Никитинская улица, 66, Железнодорожный, Самара, Самарская область",33.0,3/5,2370000,1,5.0,1963.0,53.192765,50.119444
"Самара, улица Советской Армии, 253Б, Октябрьский, Самара, Самарская область",106.0,4/17,7500000,2,17.0,2011.0,53.239811,50.180062
"Партизанская 166, Советский, Самара, Самарская область",43.3,2/9,2850000,2,9.0,1977.0,53.187764,50.194373
"Самара, улица Водников, 95, Самарский, Самара, Самарская область",256.0,7/8,35000000,4,,1.0,53.187704,50.082353
"ул Ново-Вокзальная, 161, Промышленный, Самара, Самарская область",75.0,9/10,4399000,2,10,1999,53.233538,50.2247
"Россия, Самарская область, Самара, Кирова пр-кт, 411, Промышленный, Самара, Самарская область",69.1,3/9,3850000,3,9.0,1981.0,53.255539,50.220244
"Самара, улица Осипенко, 136, Ленинский, Самара, Самарская область",52.0,12/12,3300000,2,12.0,1979.0,53.201186,50.144875
"Самара, Лесная улица, 35, Октябрьский, Самара, Самарская область",208.0,8/25,23000000,4,25,2008,53.222471,50.051271
"посёлок Соцгород, Самара, Пугачевский тракт, 78, Куйбышевский, Самара, Самарская область",32.4,2/5,1520000,1,5.0,1963.0,53.122512,50.087249
"Самара, улица Дзержинского, 24, подъезд 1, Железнодорожный, Самара, Самарская область",43.5,5/5,2299000,2,5.0,1962.0,53.190273,50.174592
"Самара, Московское шоссе, 108, подъезд 1, Октябрьский, Самара, Самарская область",45.0,5/5,2300000,2,5.0,1965.0,53.224832,50.19113
"Самара, улица Тухачевского, 40А, Железнодорожный, Самара, Самарская область",51.0,3/25,2100000,1,12,1985,53.189706,50.148199
"Самара, улица Мира, 63, Красноглинский, Самара, Самарская область",35.0,3/3,1569000,1,3.0,2016.0,53.445472,49.797371
