area,floor,floors_total,latitude,longitude,price,rooms,year
46.0,4,5,59.866739,30.461395,3900000,2,0
132.0,5,7,59.935813,30.379145,11500000,4,0
99.0,5,7,59.926264,30.374564000000003,12990000,3,0
118.2,2,6,59.947545,30.356867,12560000,4,0
72.5,6,6,59.90821800000001,30.320216,6650000,4,0
231.0,6,7,59.93758,30.373621000000004,24000000,9,0
92.0,9,16,59.90306500000001,30.315042,17500000,3,0
40.0,4,14,60.024828,30.222237,4900000,1,0
86.0,7,10,59.963539,30.273171,16950000,3,0
168.0,3,8,59.972775,30.291326,45500000,3,0
75.0,4,10,59.962751,30.287697,18000000,1,0
36.7,6,25,59.999287,30.2253,3850000,0,0
52.2,1,12,60.009206000000006,30.26585,5600000,2,0
105.0,4,5,59.926684,30.344524,10200000,3,0
57.0,5,18,60.008698,30.202132,6500000,2,0
25.7,16,22,60.05796700000001,30.422471,2820000,0,0
102.2,3,26,59.822711,30.33308,15300000,3,0
66.4,2,7,59.894513,30.32027,7500000,2,0
42.1,3,5,59.835311,30.201099,3750000,3,0
80.0,14,16,59.99701,30.208088,11000000,2,0
28.0,3,17,60.059459,30.458035,2820000,0,0
39.0,19,19,60.063464,30.211843,4690000,1,0
47.5,4,5,59.704106,30.373827,5000000,1,0
55.0,8,8,59.873735,30.310505,9988000,2,0
112.5,24,25,60.053952,30.327196,11915000,3,0
128.0,4,5,59.94371,30.378355,31900000,3,0
146.0,4,8,59.885359,30.323854,26700000,4,0
75.0,4,6,59.96099399999999,30.304675,15000000,3,0
85.6,9,19,60.063464,30.211843,7100000,3,0
127.7,4,10,59.962435,30.282657,27999000,4,0
44.0,18,25,60.033193,30.244919,6380000,1,0
64.0,19,19,59.904126,30.312437,14200000,2,0
36.0,2,18,59.860184,30.187939,4300000,1,0
42.0,2,5,59.911543,30.346177,6950000,1,0
37.4,2,25,59.808776,30.368357,3499000,1,0
67.0,6,9,59.944296,30.212409,9000000,3,0
62.5,10,25,60.034897,30.404397,9000000,2,0
51.0,8,9,60.045044,30.404164,4700000,2,0
81.2,4,7,59.947122,30.386314,13800000,3,0
168.0,11,16,59.841844,30.349366,15700000,4,0
62.0,9,20,59.858367,30.196257,7699000,2,0
58.3,17,18,60.008698,30.202132,7800000,2,0
78.1,4,14,59.852624,30.226881,11000000,2,0
73.0,15,16,60.056279,30.441399,5400000,2,0
47.7,2,17,59.82028199999999,30.3382,5500000,2,0
42.3,2,12,59.94204300000001,30.470414,4400000,2,0
74.0,5,20,59.885548,30.313074,11900000,2,0
78.2,3,5,59.939086,30.343213,22500000,2,0
43.5,6,9,59.84731800000001,30.183007,4750000,2,0
48.0,8,9,59.880794,30.454182,4300000,2,0
127.6,3,4,59.923847,30.305196,18000000,3,0
93.0,5,5,59.87786800000001,30.438587,8050000,4,0
92.0,3,6,59.919626,30.289386,8800000,3,0
105.9,10,11,59.84855200000001,30.136178,15400000,3,0
45.9,3,5,59.864308,30.456059000000003,3970000,2,0
