price,longitude,latitude,rooms,area,floor,floors_total,year
19598000,30.267485,59.96271899999999,2,109.4,4,10,0
2750000,30.403005,59.654876,2,47.0,3,3,0
11588032,30.265598,59.93389300000001,2,61.1,4,7,0
15600000,30.391246,59.939938,2,79.5,7,10,0
5328000,30.238487,59.85208100000001,2,56.0,8,21,0
4600000,30.45738,60.061578000000004,2,50.0,7,25,0
13700000,30.327888,59.95459200000001,2,98.0,4,6,0
2849000,30.315868,59.939094999999995,2,55.6,3,17,0
2760000,30.468411,59.95638100000001,2,27.0,9,22,0
10499000,30.148108,59.852971999999994,2,73.0,3,21,0
4500000,30.271815000000004,60.01929300000001,2,41.0,12,16,0
4240000,30.424097,60.062709999999996,2,56.0,15,19,0
3197119,30.315868,59.939094999999995,2,41.9,3,18,0
11000000,30.306274,59.974279,2,80.0,5,6,0
2550000,30.425705,60.06504,2,36.9,12,19,0
5880000,30.33308,59.822711,2,44.1,10,12,0
2980800,30.480646000000004,60.008518,2,36.8,1,25,0
13650000,30.365644,59.93291899999999,2,56.0,5,9,0
14000000,30.315383,59.976296999999995,2,66.0,4,12,0
4746237,30.315868,59.939094999999995,2,59.1,1,17,0
5798419,30.155097,60.006174,2,50.4,2,4,0
11046811,30.42672,59.902799,2,75.0,11,19,0
2450000,30.315868,59.939094999999995,2,62.0,2,9,0
11800000,30.356714,59.928041,2,102.0,5,6,0
4746000,30.223854,60.03705,2,46.8,12,24,0
2999803,30.350741,59.937535,2,45.8,2,11,0
12400000,30.388820000000006,59.966376000000004,2,92.4,11,14,0
12800000,30.204827,60.007101,2,86.0,3,17,0
4967388,30.41338,59.892812,2,44.8,1,20,0
2465760,30.315868,59.939094999999995,2,46.7,11,11,0
4050000,30.427636,60.039085,2,60.0,10,19,0
16009000,30.28873,59.967736,2,72.0,2,8,0
4587000,30.104432,59.84876,2,53.2,3,8,0
2946130,30.350741,59.937535,2,45.0,2,11,0
10800000,30.388820000000006,59.966376000000004,2,80.0,8,14,0
12100000,30.405062,59.962435,2,93.0,3,14,0
3920000,30.327627000000003,59.828812,2,38.8,18,22,0
3980000,30.44254,60.057164,2,55.0,6,17,0
2830000,30.314548,60.03021800000001,2,43.0,8,20,0
12999555,30.258726,60.005185,2,90.0,17,18,0
4750000,30.27751,59.99723,2,59.8,2,21,0
10000000,30.388820000000006,59.966376000000004,2,74.8,2,14,0
10770000,30.405062,59.962435,2,81.0,5,14,0
4280000,30.500607,59.830748,2,52.0,17,25,0
4677000,30.354963,59.850793,2,44.4,1,9,0
2900000,30.071832,59.668725,2,44.0,4,4,0
