area,floor,price,rooms,floors_total,year,latitude,longitude
46.0,4,3900000,2,5,1961,59.866739,30.461395
132.0,5,11500000,4,7,1911,59.935813,30.379145
99.0,5,12990000,3,7,1903,59.926264,30.374564000000003
118.2,2,12560000,4,6,1898,59.947545,30.356866999999998
72.5,6,6650000,4,6,1900,59.908218000000005,30.320216
231.0,6,24000000,9,7,0,59.937580000000004,30.373621000000004
92.0,9,17500000,3,16,2015,59.903065000000005,30.315042
40.0,4,4900000,1,14,1998,60.024828,30.222237
86.0,7,16950000,3,10,2012,59.963539000000004,30.273171
168.0,3,45500000,3,8,2006,59.972775,30.291326
75.0,4,18000000,1,10,2013,59.962751000000004,30.287696999999998
36.7,6,3850000,0,25,2009,59.999287,30.2253
52.2,1,5600000,2,12,1987,60.009206000000006,30.26585
105.0,4,10200000,3,5,1880,59.926683999999995,30.344524
57.0,5,6500000,2,18,2010,60.008697999999995,30.202132000000002
25.7,16,2820000,0,22,2016,60.057967000000005,30.422471
102.2,3,15300000,3,26,2017,59.822711,30.33308
66.4,2,7500000,2,7,1938,59.894513,30.32027
42.1,3,3750000,3,5,1968,59.835311,30.201099
80.0,14,11000000,2,16,2007,59.997009999999996,30.208088
28.0,3,2820000,0,17,2016,60.059459,30.458035
39.0,19,4690000,1,19,2014,60.063464,30.211843
47.5,4,5000000,1,5,2003,59.704106,30.373827000000002
55.0,8,9988000,2,8,2009,59.873734999999996,30.310505
112.5,24,11915000,3,25,2017,60.053952,30.327196
128.0,4,31900000,3,5,1916,59.943709999999996,30.378355
146.0,4,26700000,4,8,1938,59.885358999999994,30.323853999999997
75.0,4,15000000,3,6,0,59.96099399999999,30.304675
85.6,9,7100000,3,19,2014,60.063464,30.211843
127.7,4,27999000,4,10,2016,59.962435,30.282657
44.0,18,6380000,1,25,2011,60.033193000000004,30.244919
64.0,19,14200000,2,19,2015,59.904126,30.312437
36.0,2,4300000,1,18,2010,59.860184,30.187939
42.0,2,6950000,1,5,1902,59.911543,30.346177
37.4,2,3499000,1,25,2016,59.808776,30.368357
67.0,6,9000000,3,9,1974,59.944295999999994,30.212409
62.5,10,9000000,2,25,2008,60.034896999999994,30.404396999999996
51.0,8,4700000,2,9,1971,60.045044,30.404164
81.2,4,13800000,3,7,1957,59.947122,30.386314000000002
168.0,11,15700000,4,16,2009,59.841843999999995,30.349365999999996
62.0,9,7699000,2,20,2011,59.858367,30.196257
58.3,17,7800000,2,18,2010,60.008697999999995,30.202132000000002
78.1,4,11000000,2,14,2006,59.852624,30.226881
73.0,15,5400000,2,16,2016,60.056279,30.441399
47.7,2,5500000,2,17,2019,59.82028199999999,30.3382
42.3,2,4400000,2,12,1985,59.942043000000005,30.470414
74.0,5,11900000,2,20,2017,59.885548,30.313074
78.2,3,22500000,2,5,1831,59.939085999999996,30.343213000000002
43.5,6,4750000,2,9,1979,59.84731800000001,30.183007
48.0,8,4300000,2,9,1973,59.880793999999995,30.454182
127.6,3,18000000,3,4,0,59.923846999999995,30.305196000000002
93.0,5,8050000,4,5,1957,59.87786800000001,30.438587
92.0,3,8800000,3,6,0,59.919626,30.289386
105.9,10,15400000,3,11,2010,59.848552000000005,30.136178
45.9,3,3970000,2,5,1961,59.864307999999994,30.456059000000003
60.4,5,5500000,3,9,0,60.035841000000005,30.327779999999997
110.0,9,31990000,3,9,2016,59.94079,30.383871000000003
53.1,2,6867559,1,14,0,59.962435,30.405062
31.0,1,3700000,1,5,1965,60.016874,30.373216999999997
79.0,11,14500000,2,19,2005,59.98485,30.260029
22.0,2,3600000,0,4,1955,59.913722,30.328669
100.5,11,14000000,3,16,2002,60.030564,30.293213
36.0,1,5000000,2,5,1884,59.914191,30.337166999999997
44.6,2,4550000,2,5,1966,59.862772,30.443995
37.0,12,3850000,1,25,2015,60.056674,30.429334000000004
226.0,8,29000000,4,8,2011,59.868545999999995,30.263029
103.0,4,14300000,4,21,2006,60.011914000000004,30.279567
50.0,2,4900000,3,5,0,60.03148100000001,30.398549
74.0,7,9100000,3,17,2006,59.829237,30.330717
31.6,15,5900000,0,25,2014,59.848167000000004,30.308179
68.0,3,16500000,2,9,2001,59.958476,30.278633000000003
79.0,2,25000000,3,5,1899,59.93043,30.288047
52.6,4,7113137,1,14,0,59.962435,30.405062
44.8,7,4900000,1,7,2001,60.02856800000001,30.233744
50.2,1,8500000,1,5,1800,59.934307999999994,30.341416
45.0,12,6500000,1,17,2008,59.83706,30.271409999999996
160.0,17,16900000,3,24,2004,59.94444,30.491588
78.4,6,8050000,3,16,1993,59.921032999999994,30.459087
80.9,6,8295000,3,9,2003,60.02811,30.285567999999998
38.7,6,4650000,0,22,2017,60.053952,30.327196
110.0,4,22700000,3,9,2008,59.83835799999999,30.334194
44.3,16,5395000,1,23,2011,59.859162,30.197425
35.1,7,3890000,1,9,1976,60.005126000000004,30.277465000000003
96.0,3,13900000,3,14,2006,59.909490000000005,30.470989000000003
42.0,19,3990000,1,24,2015,59.806821,30.369282000000002
86.0,7,16950000,3,10,2012,59.963539000000004,30.273171
84.6,2,13000000,3,3,1917,59.982514,30.273944
45.0,2,5000000,2,5,1962,59.856953000000004,30.306229
33.0,3,3500000,1,9,0,59.904699,30.467764000000003
50.7,4,6803592,1,14,0,59.962435,30.405062
88.0,1,7950000,4,5,1953,59.875203000000006,30.438029999999998
46.0,5,4800000,2,5,1970,59.829631000000006,30.168670000000002
112.0,4,20000000,2,8,2014,59.955606,30.289098
53.0,2,9200000,2,5,1907,59.946676000000004,30.361413
45.3,2,3900000,2,7,1961,59.868342000000005,30.450471999999998
102.2,3,15300000,3,26,2017,59.822711,30.33308
51.5,11,8150000,2,16,2011,59.997009999999996,30.208088
41.7,5,4099999,2,5,1964,59.858087,30.355888
42.4,8,5350000,1,10,2007,59.983328,30.412689
28.0,13,3350000,1,15,1982,59.85369,30.179854
36.1,22,4300000,1,24,2015,59.868803,30.165805
82.2,7,7799999,3,7,1961,59.87370799999999,30.257981
248.0,4,85000000,5,8,2017,59.967691,30.276109
128.0,4,31900000,3,5,1916,59.943709999999996,30.378355
39.9,6,5600000,1,13,2010,59.85260600000001,30.288407
60.1,9,5150000,3,9,1971,60.043034999999996,30.404056
92.0,7,14500000,3,12,2010,59.999287,30.2253
60.0,6,5600000,3,9,1972,60.036214,30.388379999999998
62.0,15,7750000,2,23,2018,59.868984,30.155707
63.0,14,5500000,2,17,2014,60.062036,30.457757
78.9,8,7795000,3,17,2012,59.939094999999995,30.315868
86.0,4,9900000,3,5,0,59.998630000000006,30.330717
38.5,3,5250000,1,16,0,59.904302,30.47213
28.6,1,3750000,1,9,1967,59.853916000000005,30.375696
26.0,20,4570000,0,20,2009,59.873734999999996,30.310505
81.0,15,8300000,3,18,2010,59.860861,30.184993
86.6,2,8600000,4,10,2000,60.038151,30.400840000000002
60.0,2,8333000,2,10,2007,59.851172999999996,30.398289000000002
145.0,10,27000000,4,10,2015,59.96326,30.329720000000002
82.3,21,8150000,3,27,2015,60.078773,30.344695
42.0,2,6950000,1,5,1902,59.911543,30.346177
68.0,8,8800000,2,25,2011,60.03354,30.242036
34.6,1,3450000,1,5,1972,60.047124,30.395296999999996
31.0,4,3500000,1,9,1969,59.842996,30.340751
76.0,4,11300000,3,4,1870,59.927234,30.324222
55.2,10,5500000,2,16,1985,59.952191000000006,30.485901000000002
112.9,6,27390000,3,7,2004,59.926643000000006,30.379756
26.0,20,3100000,0,27,2018,60.075986,30.343797
63.0,8,7950000,2,25,1991,59.864101,30.454056
30.0,12,5250000,0,13,2005,60.008697999999995,30.202132000000002
117.0,7,19289000,3,16,2012,59.959619999999994,30.269632
101.2,7,19200000,3,10,2016,59.939487,30.290024
95.0,9,6500000,5,15,1982,59.953664,30.477412
80.0,3,8400000,2,25,2013,59.864851,30.511108
35.0,3,4050000,1,25,2017,60.080932,30.333035
65.8,5,5500000,3,9,1978,59.913495999999995,30.453751
168.0,11,15700000,4,16,2009,59.841843999999995,30.349365999999996
30.0,9,3500000,1,9,1974,59.838051,30.386853000000002
90.2,11,13480000,3,13,2017,59.983067000000005,30.268590000000003
90.0,16,13499000,3,16,0,60.003668999999995,30.288802
83.0,2,9750000,3,24,2015,59.862967000000005,30.411925
55.0,1,5575000,2,12,1986,59.928411,30.463110999999998
39.8,3,5700000,1,12,2011,60.000393,30.208034
50.0,9,6500000,1,18,2004,60.017423,30.246374
78.2,3,22500000,2,5,1831,59.939085999999996,30.343213000000002
77.0,4,14800000,3,5,1895,59.93246800000001,30.369668
58.2,17,12240000,2,17,2013,60.014185,30.311386
60.0,1,7250000,2,6,1849,59.921547,30.310667
50.0,2,4950000,2,9,0,59.910623,30.459967
137.8,6,51500000,3,8,2007,59.973220999999995,30.259571
63.8,2,5749999,2,23,2013,59.863513,30.505943
78.3,24,8150000,3,25,2011,60.069616,30.329756
51.0,15,5900000,2,16,1990,59.839665000000004,30.508098999999998
40.0,9,4800000,1,25,2012,60.073167000000005,30.332010999999998
115.2,22,14980000,3,23,2005,59.84131,30.225336
45.8,2,4500000,2,5,1963,59.978512,30.424304
51.0,22,7500000,1,23,1979,59.844985,30.398756
30.3,2,3300000,1,5,1962,59.88314200000001,30.482497
180.0,6,60000000,4,6,2012,59.948429000000004,30.304199
42.1,10,8850000,1,15,2016,59.879353,30.315265999999998
43.4,17,3950000,1,17,2013,59.863093000000006,30.169721000000003
29.5,1,3390000,1,5,1966,59.963593,30.411996999999996
23.4,8,2400000,0,12,2018,60.055111,30.440159
56.0,4,4550000,3,5,1966,59.868035,30.386107
29.4,19,3050000,0,23,2013,59.864887,30.512365999999997
31.0,20,3400000,1,22,2015,60.048966,30.436188
80.0,5,13900000,2,7,2017,59.944292000000004,30.39651
44.8,7,4900000,1,7,2001,60.02856800000001,30.233744
171.0,5,20500000,5,6,1906,59.929840000000006,30.376163000000002
33.0,17,3650000,1,19,2016,60.027004000000005,30.453068
79.0,8,9500000,3,14,1991,59.923396,30.450409000000004
30.7,5,3300000,0,15,2016,60.048373,30.433386
64.0,5,9965000,2,21,2008,60.054990000000004,30.311484000000004
64.0,3,8950000,2,9,2013,59.826302,30.332478000000002
93.1,5,11200000,3,9,1998,59.875741000000005,30.460496999999997
54.2,12,5325000,1,16,2017,59.968263,30.428346
37.7,4,5200000,1,15,2012,59.911367000000006,30.476846000000002
53.6,8,6550000,1,14,0,59.852814,30.360919
24.5,2,2690000,0,24,2016,60.049792000000004,30.426486999999998
40.0,6,4200000,1,12,0,59.953056000000004,30.493708
50.1,9,9300000,1,10,2015,59.949690000000004,30.262796
46.0,4,3900000,2,5,1961,59.866739,30.461395
39.0,11,5499000,1,12,2006,59.936733,30.489234000000003
203.0,24,33990000,5,25,2004,60.025992,30.320324
52.0,4,6600000,2,12,0,59.946743000000005,30.220961
145.0,22,27500000,3,23,2008,59.957354,30.343914
39.0,3,4650000,1,12,1983,59.838164,30.420171000000003
55.0,1,6000000,3,5,1965,59.724437,30.416533
124.3,3,24900000,2,10,2017,59.955002,30.28316
46.0,3,5970000,2,5,1897,59.927868999999994,30.259831
80.1,3,10990000,3,5,1958,59.98859,30.30348
74.4,4,7000000,3,5,0,59.918783,30.418033
40.0,4,4300000,1,12,1981,60.039269999999995,30.403831
26.0,11,3300000,0,16,0,60.049981,30.436548
41.8,2,4450000,3,5,1965,59.84253100000001,30.240212
68.0,5,14400000,2,14,2012,59.963539000000004,30.273171
53.0,1,8500000,3,9,0,59.862429000000006,30.387868
43.4,17,3950000,1,17,2013,59.863093000000006,30.169721000000003
91.0,7,30000000,2,10,2007,59.957935,30.273081
168.0,2,20500000,4,5,2014,59.848253,30.156416999999998
37.2,17,3890000,1,20,2018,59.866689,30.175012
163.4,11,80000000,4,77,2006,59.972775,30.291326
82.0,1,15150000,2,4,1845,59.940293999999994,30.323863
42.0,2,5190000,1,12,2010,59.999287,30.2253
72.4,2,8049999,3,5,0,59.910731000000006,30.324590999999998
42.0,3,6740000,2,5,1961,59.961579,30.322183000000003
56.7,15,5999000,2,25,2011,60.071389,30.326459000000003
88.0,2,11300000,3,10,0,59.928879,30.26037
21.7,13,2800000,0,17,2019,59.82028199999999,30.3382
44.0,5,5100000,2,5,1961,59.854377,30.301818
51.0,6,9999000,1,10,2012,60.012533999999995,30.310784
75.5,1,10500000,3,5,1788,59.92714399999999,30.311771999999998
40.0,22,4950000,1,25,2016,59.870366000000004,30.158986
60.0,20,6500000,2,23,2013,59.863513,30.505943
53.2,1,4700000,2,3,0,59.867267000000005,29.919217
77.5,1,7790000,3,17,2014,59.997009999999996,30.208088
70.0,2,4800000,2,9,2013,59.740316,30.470323999999998
44.6,3,5250000,2,5,0,60.040195,30.405583
50.8,1,7000000,2,9,0,60.012218999999995,30.352843
36.0,7,3990000,1,15,2016,60.055820999999995,30.431841
163.5,6,21800000,8,7,1950,59.800095999999996,30.398046
49.5,4,4490000,4,5,1966,59.843191000000004,30.236071000000003
25.6,3,2930000,0,10,2016,60.05711899999999,30.424896999999998
34.6,1,3350000,1,9,1976,60.037943999999996,30.350354
108.0,7,18360000,3,10,2016,59.957584,30.405510999999997
134.0,9,39000000,2,10,2007,59.957935,30.273081
18.0,2,2650000,0,4,1890,59.923026,30.292907
