price_per_m,floors,latitude,longitude
66.3,9,53.234831,50.249951
44.7,3,53.310022,50.306788
47.8,25,53.189706,50.148199
55.7,10,53.15008,50.072884
79.1,14,53.217419,50.170747
44.2,16,53.194767,50.208162
60.1,16,53.195295,50.152053
52.2,9,53.209416,50.277458
57.7,17,53.223959,50.256815
40.4,5,53.43821,50.125328
53.1,10,53.184688,50.185533
51.5,16,53.15238,50.072687
53.2,3,53.290153,50.222274
37.8,4,53.348451,50.208728
52.7,6,53.201013,50.199116
44.9,16,53.209832,50.215654
68.0,9,53.192981,50.147157
58.2,9,53.208581,50.157542
71.7,9,53.248099,50.21109
48.3,10,53.142627,50.041542
68.3,24,53.192107,50.134069
60.0,5,53.198014,50.209653
63.0,18,53.217904,50.242711
53.0,26,53.203063,50.15641
51.5,5,53.11573,50.151846
61.0,9,53.255814,50.222032
70.8,17,53.25326,50.21127
56.2,5,53.207545,50.23486
41.0,16,53.147374,50.078957
62.8,5,53.230331,50.252664
42.0,9,53.111811,50.143276
63.8,26,53.204875,50.177808
60.8,9,53.208181,50.221834
70.8,5,53.194001,50.136557
53.4,19,53.288953,50.235255
64.2,5,53.209864,50.166507
61.1,9,53.24423,50.22399
52.2,24,53.193402,50.139459
45.8,25,53.223209,50.200598
75.7,9,53.214308,50.137905
72.7,16,53.219414,50.190366
64.5,12,53.230805,50.245774
80.0,5,53.189059,50.095854
82.2,25,53.221651,50.168429
54.3,16,53.149713,50.073944
58.0,10,53.205927,50.112338
70.7,26,53.20699,50.176451
55.0,9,53.219559,50.273532
57.0,4,53.227651,50.258512
81.0,5,53.209174,50.129056
64.1,24,53.217764,50.193241
46.3,16,53.146748,50.077151
82.6,16,53.21002,50.16365
46.0,5,53.301854,50.270792
54.0,9,53.200949,50.228158
54.5,16,53.208014,50.280719
55.2,5,53.116892,50.161512
48.4,3,53.321797,50.313363
65.1,14,53.245033,50.18415
50.0,9,53.180981,50.128787
68.4,24,53.218282,50.191471
56.0,5,53.231414,50.276146
51.0,5,53.226719,50.264576
44.3,3,53.31049,50.310085
76.5,22,53.242888,50.184761
35.9,9,53.232966,50.323299
45.8,9,53.214469,50.222957
49.0,5,53.278266,50.269175
51.7,17,53.196887,50.146412
44.5,24,53.205976,50.214127
46.6,16,53.277082,50.264109
71.0,18,53.191335,50.1345
64.5,9,53.238949,50.213588
63.7,9,53.187688,50.140141
49.6,16,53.151079,50.075499
71.7,16,53.219613,50.190761
62.9,9,53.238356,50.224251
71.0,17,53.259843,50.221717
75.9,16,53.21984,50.191202
67.4,9,53.206283,50.188031
72.5,9,53.200781,50.217639
74.8,24,53.226929,50.191462
70.0,15,53.205129,50.141174
56.5,3,53.287774,50.221807
63.8,11,53.229986,50.189108
75.3,5,53.188541,50.112716
74.4,22,53.203419,50.183961
69.0,4,53.236475,50.174376
48.5,16,53.233689,50.256779
65.8,5,53.219856,50.219328
51.2,19,53.259197,50.194525
52.4,10,53.224503,50.213156
52.9,9,53.207329,50.284276
55.1,10,53.307331,50.286109
41.3,23,53.148962,50.077394
69.0,5,53.210112,50.22973
53.0,26,53.202718,50.143357
75.0,10,53.20309,50.136467
51.9,10,53.308838,50.287582
79.7,19,53.25556,50.198424
40.0,3,53.314218,50.305261
81.0,16,53.252764,50.212069
50.8,3,53.316703,50.312124
63.6,9,53.207119,50.225221
56.0,9,53.263974,50.223442
