price_per_m,latitude,longitude
57.5,53.25194,50.249251
57.0,53.11113,50.14457
67.0,53.201186,50.153697
79.5,53.261911,50.211665
72.0,53.248099,50.21109
54.3,53.307331,50.286109
47.0,53.093543,50.165348
45.3,53.319619,50.314477
52.0,53.243061,50.247212
57.3,53.232627,50.224547
65.0,53.194751,50.147094
68.3,53.262046,50.183647
61.2,53.244553,50.060649
56.0,53.187683,50.100696
64.7,53.233592,50.2232
77.0,53.192765,50.119444
82.5,53.239811,50.180062
65.0,53.187764,50.194373
136.0,53.187704,50.082353
57.8,53.233538,50.2247
56.5,53.255539,50.220244
60.0,53.201186,50.144875
147.0,53.222471,50.051271
46.0,53.122512,50.087249
52.0,53.190273,50.174592
51.0,53.224832,50.19113
48.1,53.189706,50.148199
44.1,53.445472,49.797371
57.0,53.241573,50.231392
66.3,53.235095,50.206221
34.0,53.225889,50.235614
79.0,53.202793,50.122561
50.3,53.215559,50.272733
71.3,53.235095,50.054667
68.9,53.225145,50.152143
57.5,53.242867,50.226757
72.0,53.245927,50.074097
59.0,53.194826,50.141875
78.5,53.217257,50.163866
56.0,53.25403,50.221439
53.3,53.253928,50.243681
48.4,53.152083,50.07566
50.0,53.191859,50.140213
47.5,53.299927,50.274853
102.0,53.185206,50.081499
58.3,53.245415,50.204353
39.3,53.12556,50.095028
35.0,53.487782,49.852447
68.3,53.196908,50.195271
51.6,53.215769,50.261701
107.0,53.191303,50.11692
43.0,53.232751,50.296224
52.5,53.250981,50.25836
55.3,53.201111,50.193807
47.9,53.24395,50.259788
50.8,53.195236,50.165914
54.7,53.250459,50.388292
77.5,53.198041,50.141282
59.5,53.259331,50.239944
75.0,53.247107,50.214612
58.3,53.200927,50.210192
89.0,53.25549,50.198631
26.0,53.250604,50.355081
48.0,53.146251,50.059796
42.8,53.146947,50.078113
38.0,53.308547,50.316238
48.0,53.18676,50.199511
36.8,53.120318,50.080233
87.7,53.244295,50.058709
55.7,53.25048,50.202475
76.3,53.201493,50.138354
66.5,53.250539,50.238318
60.0,53.235629,50.242828
79.2,53.237655,50.208665
51.7,53.147493,50.061539
64.6,53.259164,50.234096
44.0,53.208154,50.226344
66.0,53.211137,50.143672
70.0,53.240786,50.215034
85.2,53.218993,50.167711
83.3,53.199595,50.133287
51.7,53.224309,50.253158
49.4,53.34114,50.221205
50.3,53.254968,50.263237
44.5,53.319511,50.30977
59.0,53.207901,50.232731
57.8,53.232972,50.251919
50.2,53.236653,50.282614
74.3,53.188881,50.095684
54.3,53.250825,50.230126
51.5,53.239132,50.281788
62.0,53.188379,50.142791
74.5,53.246261,50.062689
36.2,53.435576,50.122076
41.0,53.213224,50.194283
66.8,53.22157,50.169202
64.5,53.219317,50.244238
71.0,53.193995,50.130206
71.2,53.244548,50.203347
89.0,53.188508,50.09448
43.0,53.226169,50.261567
42.0,53.228465,50.279847
74.0,53.207124,50.133027
59.0,53.217764,50.193241
51.5,53.211611,50.255772
62.2,53.236761,50.262627
54.6,53.247129,50.234132
85.5,53.213332,50.130448
54.3,53.154827,50.075966
