price_per_m,latitude,longitude
104.0,60.041355,30.449519
200.6,59.964147,30.282936
195.0,59.937161,30.380538
133.3,59.916284,30.439548
95.0,59.935813,30.379145
103.0,59.8399,30.178758
103.0,59.901188,30.366174
95.3,59.947631,30.502763
165.8,59.836685,30.358017
201.2,59.982235,30.316254
137.7,59.956183,30.40676
130.0,59.926264,30.374564
145.3,59.951912,30.216667
111.5,60.047933,30.431517
82.3,60.026527,30.454532
153.0,59.9486,30.411629
111.0,59.834013,30.209391
158.0,59.869363,30.459131
117.0,59.922273,30.347426
106.0,59.947545,30.356867
172.5,59.98485,30.260029
118.7,60.038555,30.401531
75.0,59.758014,30.466992
77.0,60.035405,30.451981
124.4,59.849754,30.397974
81.7,60.06654,30.45685
137.0,59.913122,30.288317
91.0,59.908218,30.320216
69.0,59.897095,30.432505
104.5,59.834655,30.519085
101.0,59.984922,30.349052
111.0,59.839805,30.340859
109.8,60.039535,30.347183
105.0,60.056786,30.427547
80.0,59.759691,30.472283
103.0,59.93758,30.373621
121.6,60.075986,30.343797
204.0,59.888325,30.317323
115.1,59.841975,30.113127
144.0,59.924424,30.298854
70.7,59.746823,30.063783
82.0,59.810776,30.359472
112.0,60.032425,30.238712
137.6,59.851851,30.142179
212.7,59.903065,30.315042
104.3,60.025853,30.454397
112.0,59.806097,30.374375
132.0,59.865424,30.370764
168.0,59.928879,30.26037
105.0,59.981577,30.384113
132.4,59.99701,30.208088
122.0,60.024828,30.222237
199.7,59.944292,30.39651
104.0,60.040627,30.318904
125.0,59.977976,30.436638
95.0,59.88567,30.483251
117.3,59.865488,30.464656
196.7,59.963539,30.273171
97.2,60.036429,30.237373
110.0,59.927414,30.314368
263.0,59.973401,30.263047
102.0,59.947297,30.497067
120.3,59.822711,30.33308
135.8,59.913144,30.449996
104.3,59.914899,30.508952
327.2,59.972775,30.291326
139.5,60.009741,30.255888
115.3,59.914155,30.318608
267.0,59.936363,30.332514
117.0,60.025215,30.317458
126.7,60.008698,30.202132
131.3,59.999287,30.2253
397.6,59.971834,30.263559
123.1,60.03354,30.242036
222.1,59.962751,30.287697
97.0,59.835247,30.154567
105.3,59.939095,30.315868
107.5,60.080394,30.334832
98.0,59.924307,30.459796
119.7,59.881932,30.464602
100.3,60.008878,30.289485
97.0,59.941213,30.488623
142.0,59.900168,30.424807
115.0,59.825873,30.16779
128.4,60.039413,30.224294
121.0,59.995557,30.330268
116.0,60.038456,30.327995
164.0,59.997986,30.352915
85.0,60.064358,30.457973
107.0,60.009206,30.26585
102.8,59.968263,30.428346
122.0,59.929082,30.32151
101.0,59.880794,30.454182
95.5,60.047205,30.463138
116.0,60.079639,30.33608
279.0,59.948172,30.410883
166.0,59.842766,30.328903
135.8,59.926684,30.344524
106.2,60.010938,30.394138
128.0,59.859185,30.196033
91.0,59.858616,29.93571
119.0,59.838123,30.256103
102.0,60.055385,30.432101
181.5,59.909847,30.349214
130.2,59.845785,30.484715
128.0,59.964863,30.408413
93.0,59.861756,30.175569
84.0,59.892942,30.43927
114.2,59.889918,30.416938
103.2,60.063563,30.431293
111.8,59.911448,30.308232
124.5,59.851783,30.365626
102.8,60.057967,30.422471
115.0,60.030272,30.234723
106.0,59.843042,30.170296
280.4,59.939767,30.353184
136.5,59.929078,30.370854
113.3,60.066163,30.310523
245.5,59.960692,30.324456
146.8,59.993847,30.309436
105.7,60.027215,30.456329
293.8,59.962435,30.282657
143.5,59.946153,30.281445
114.7,59.838249,30.114439
113.3,59.724437,30.416533
112.0,59.894513,30.32027
99.0,60.042838,30.463812
124.5,60.030034,30.301333
272.3,59.962719,30.267485
89.0,59.835311,30.201099
110.0,60.015597,30.411898
112.0,59.831155,30.215113
114.0,59.843688,30.489674
109.3,60.071708,30.329765
80.5,59.946955,30.46409
83.0,59.747444,30.086061
88.0,59.887679,30.487132
133.0,59.829043,30.328984
121.2,59.861028,30.191595
113.7,59.820282,30.3382
111.7,60.05419,30.325848
134.0,59.939379,30.358565
87.3,60.059459,30.458035
69.0,60.071766,30.235002
127.0,60.024019,30.235792
119.6,60.035351,30.225614
154.7,60.01365,30.388281
122.5,59.854571,30.344776
114.5,60.029112,30.248791
110.6,60.063464,30.211843
57.0,59.779748,30.10701
112.0,59.860861,30.184993
133.0,59.942584,30.345899
98.0,59.704106,30.373827
194.7,59.953759,30.330394
176.8,59.918309,30.369866
84.5,59.859352,30.159148
127.2,60.024913,30.32177
99.5,59.92309,30.336017
171.8,59.873735,30.310505
80.5,59.73458,30.574286
107.0,59.877064,30.271339
151.8,59.99638,30.201333
104.8,59.811609,30.364045
161.0,59.9303,30.38352
187.7,60.013942,30.309885
113.3,60.053952,30.327196
121.0,60.013195,30.326028
174.2,59.8023,30.398675
87.0,59.952065,30.472301
116.5,59.849153,30.314116
249.0,59.94371,30.378355
150.0,60.034465,30.329406
141.8,59.861706,30.452502
138.4,60.023947,30.222821
112.8,59.863513,30.505943
110.0,60.062696,30.30772
79.7,59.831377,30.168032
98.0,60.052196,30.453813
79.3,59.740316,30.470324
103.3,59.904302,30.47213
158.0,59.871432,30.316102
241.2,59.94079,30.383871
132.0,59.885359,30.323854
103.0,59.863224,30.511755
