adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самара, Минская улица, 31", 35.0, 5/9, 2300000, 1, 9,,53.234831,50.249951, Кировский
"Россия, Самара, улица Мира, 41", 34.0, 3/3, 1500000, 1, 3,,53.310022,50.306788, Красноглинский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 8/25, 2250000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Осетинская улица, 13А", 39.6, 5/10, 1900000, 1, 10,,53.15008,50.072884, Куйбышевский
"Россия, Самара, улица Мичурина, 149", 41.0, 9/14, 3040000, 1, 14,,53.217419,50.170747, Октябрьский
"Россия, Самара, Аэродромная улица, 102", 36.0, 1/16, 1629900, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, улица Тухачевского, 80", 43.0, 2/16, 2300000, 1, 16,,53.195295,50.152053, Железнодорожный
"Россия, Самара, улица Железной Дивизии, 3", 36.0, 7/9, 1800000, 1, 9,,53.209416,50.277458, Промышленный
"Россия, Самара, проспект Кирова", 42.0, 18/27, 2648640, 1, 27,,53.223959,50.256815, Промышленный
"Россия, Самарская область, Красноярский район, посёлок городского типа Волжский, улица Жилгородок, 19А", 45.0, 6/6, 1630000, 1, 6,,53.43821,50.125328, Волжский район
"Россия, Самара, улица Волгина", 40.5, 2/10, 2500000, 1, 10,,53.184688,50.185533, Железнодорожный
"Россия, Самара, Осетинская улица, 7А", 38.6, 7/16, 1840000, 1, 16,,53.15238,50.072687, Куйбышевский
"Россия, Самара, Демократическая улица, 188", 39.0, 1/3, 2300000, 1, 3,,53.290153,50.222274, Кировский
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица 8 Марта", 41.3, 4/4, 1350000, 1, 4,,53.348451,50.208728, Красноглинский
"Россия, Самара, улица Гагарина", 22.0, 4/5, 1510000, 1, 5,,53.201013,50.199116, Советский
"Россия, Самара, улица Советской Армии, 119", 36.0, 5/16, 1780000, 1, 16,,53.209832,50.215654, Советский
"Россия, Самара, Пензенская улица, 67", 32.0, 6/9, 2200000, 1, 9,,53.192981,50.147157, Железнодорожный
"Россия, Самара, улица Гая, 6", 44.55, 4/18, 2628450, 1, 18,,53.208581,50.157542, Октябрьский
"Россия, Самара, улица Аминева, 11", 41.0, 3/9, 2550000, 1, 9,,53.248099,50.21109, Промышленный
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 131", 41.0, 9/10, 2260000, 1, 10,,53.142627,50.041542, Куйбышевский
"Россия, Самара, проспект Карла Маркса, 4Б", 37.7, 13/24, 2517090, 1, 24,,53.192107,50.134069, Железнодорожный
"Россия, Самара, переулок Футболистов, 4", 30.0, 3/5, 1800000, 1, 5,,53.198014,50.209653, Советский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 8/25, 2250000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Ново-Вокзальная улица, 27", 46.0, 17/18, 3000000, 1, 18,,53.217904,50.242711, Промышленный
"Россия, Самара, улица Гая, 6", 37.0, 2/9, 2500000, 1, 9,,53.208581,50.157542, Октябрьский
"Россия, Самара, Московское шоссе, 17", 42.33, 18/26, 2328150, 1, 26,,53.203063,50.15641, Ленинский
