adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Россия, Самара, Ташкентская улица, 141",31.0,7/9,1550000,1,9.0,1979.0,53.25194,50.249251
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Подстепновская улица, 20, подъезд 2",38.5,8/9,2200000,1,10.0,2017.0,53.11113,50.14457
"Россия, Самара, Пролетарская улица, 167",30.7,2/5,2100000,1,5,1964,53.201186,50.153697
"Россия, Самара, проспект Кирова, 435",93.0,7/9,7650000,3,10.0,2011.0,53.261911,50.211665
"Россия, Самара, улица Аминева, 11",31.0,7/9,2300000,1,9.0,1986.0,53.248099,50.21109
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 53",36.0,4/10,2100000,1,,,53.307331,50.286109
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, Губернаторская улица, 37, подъезд 1",34.7,3/9,1650000,1,10.0,2017.0,53.093543,50.165348
"Россия, Самара, улица Маршала Устинова, 7",33.9,2/3,1650000,1,3.0,2012.0,53.319619,50.314477
"Россия, Самара, проспект Карла Маркса, 432",32.0,4/5,1690000,1,5.0,1968.0,53.243061,50.247212
"Россия, Самара, Ново-Вокзальная улица, 155А",127.0,3/14,7000000,4,14.0,2000.0,53.232627,50.224547
"Россия, Самара, Пензенская улица, 74",55.0,8/12,3590000,2,12.0,1984.0,53.194751,50.147094
"Россия, Самара, Промышленный район, 7-я просека 2-й проезд, 114",92.0,5/19,6199000,3,20.0,2013.0,53.262046,50.183647
"Россия, Самарская область, Волжский район, село Рождествено, Гаражная улица, 15",68.0,5/9,3790000,3,9,1972,53.244553,50.060649
"Россия, Самара, Некрасовская улица, 71",40.4,1/3,2300000,2,,,53.187683,50.100696
"Россия, Самара, Ново-Вокзальная улица, 165А",87.7,13/14,6150000,3,10,2002,53.233592,50.2232
"Россия, Самара, Никитинская улица, 66",33.0,3/5,2370000,1,5.0,1963.0,53.192765,50.119444
"Россия, Самара, улица Советской Армии, 253Б",106.0,4/17,7500000,2,17.0,2011.0,53.239811,50.180062
"Россия, Самара, Партизанская улица, 166",43.3,2/9,2850000,2,9.0,1977.0,53.187764,50.194373
"Россия, Самара, улица Водников, 95",256.0,7/8,35000000,4,,1.0,53.187704,50.082353
"Россия, Самара, Ново-Вокзальная улица, 161",75.0,9/10,4399000,2,10,1999,53.233538,50.2247
"Россия, Самара, проспект Кирова, 411",69.1,3/9,3850000,3,9.0,1981.0,53.255539,50.220244
"Россия, Самара, улица Осипенко, 136",52.0,12/12,3300000,2,12.0,1979.0,53.201186,50.144875
