adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Россия, Ленинградская область, Всеволожский район, Мурино, Новая улица, 7к3",33.0,3/27,181,4295000,1,27,2015,60.041355,30.449519
"Россия, Санкт-Петербург, Глухая Зеленина улица, 6",85.0,2/11,5143,19000000,2,11,2015,59.964147,30.282936
"Россия, Санкт-Петербург, 10-я Советская улица, 8А",46.1,6/8,959,9012660,1,5,1903,59.937161,30.380538
"Россия, Санкт-Петербург, Союзный проспект, 4",33.0,13/15,105,4650000,1,15,2014,59.916284,30.439548
"Россия, Санкт-Петербург, 9-я Советская улица, 39/24",132.0,5/7,1467,11500000,4,6,1911,59.935813,30.379145
"Россия, Санкт-Петербург, Авангардная улица, 7",14.0,1/5,9458,1650000,0,5,1969,59.8399,30.178758
"Россия, Санкт-Петербург, Мгинская улица, 3",44.0,3/4,1903,4550000,2,4,1952,59.901188,30.366174
"Россия, Санкт-Петербург, улица Коммуны, 26к1",61.0,9/12,5248,6180000,3,,,59.947631,30.502763
"Россия, Санкт-Петербург, проспект Космонавтов, 65к2",66.0,3/18,1219,11200000,2,25,2011,59.836685,30.358017
"Россия, Санкт-Петербург, Ушаковская набережная, 3к2",45.4,4/17,3969,7050000,1,17,2015,59.982235,30.316254
"Россия, Санкт-Петербург, Свердловская набережная, 58",93.5,8/16,3418,10987000,3,16,2014,59.956183,30.40676
"Россия, Санкт-Петербург, Невский проспект, 131",99.0,5/7,3776,12990000,3,5,1903,59.926264,30.374564
"Россия, Санкт-Петербург, улица Кораблестроителей, 30",133.3,3/18,3176,16000000,4,18,2004,59.951912,30.216667
"Россия, Ленинградская область, Всеволожский район, Мурино, Охтинская аллея, 10",32.8,8/19,2135,3700000,1,20,2016,60.047933,30.431517
"Россия, Санкт-Петербург, проспект Маршака, 26",71.5,9/19,2671,6000000,3,19,2017,60.026527,30.454532
"Россия, Санкт-Петербург, Цимлянская улица, 6",84.7,4/6,7862,13000000,3,6,1914,59.9486,30.411629
"Россия, Санкт-Петербург, проспект Ветеранов, 93",36.0,12/12,1693,4000000,1,,,59.834013,30.209391
"Россия, Санкт-Петербург, проспект Обуховской Обороны, 195",26.7,5/24,4389,4200000,0,24,2015,59.869363,30.459131
"Россия, Санкт-Петербург, улица Марата, 57",100.0,5/5,1798,12600000,3,6,1882,59.922273,30.347426
"Россия, Санкт-Петербург, Захарьевская улица, 21",118.2,2/6,4593,12560000,4,4,1898,59.947545,30.356867
"Россия, Санкт-Петербург, Дибуновская улица, 50",107.6,8/15,5472,16000000,3,25,2005,59.98485,30.260029
"Россия, Санкт-Петербург, проспект Просвещения, 75",67.7,7/13,351,6790000,3,,,60.038555,30.401531
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Ленсоветовский, 29",41.0,2/10,6977,3100000,1,10,2009,59.758014,30.466992
"Россия, Санкт-Петербург, Муринская дорога, 78",80.0,11/18,3285,6200000,3,18,2015,60.035405,30.451981
"Россия, Санкт-Петербург, Бухарестская улица, 69",67.0,9/15,588,8600000,3,15,1983,59.849754,30.397974
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шоссе в Лаврики, 89",43.0,12/18,4903,3777000,1,19,2017,60.06654,30.45685
"Россия, Санкт-Петербург, Дерптский переулок, 8",43.0,2/4,3609,5900000,1,5,1913,59.913122,30.288317
"Россия, Санкт-Петербург, набережная Обводного канала, 96",72.5,6/6,2219,6650000,4,6,1900,59.908218,30.320216
"Россия, Санкт-Петербург, проспект Обуховской Обороны, 97",90.9,2/5,6987,6350000,3,5,1917,59.897095,30.432505
"Россия, Санкт-Петербург, Рыбацкий проспект, 57к1",75.2,2/10,1124,7199000,3,10,1999,59.834655,30.519085
"Россия, Санкт-Петербург, улица Харченко, 12",59.0,4/5,3852,6000000,2,5,1958,59.984922,30.349052
"Россия, Санкт-Петербург, проспект Юрия Гагарина, 48к1",90.0,1/10,5719,9990000,3,10,2004,59.839805,30.340859
"Россия, Санкт-Петербург, проспект Художников, 15А",53.0,6/15,3729,5450000,3,15,1978,60.039535,30.347183
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шувалова, 11",34.2,12/22,2023,3600000,1,23,2016,60.056786,30.427547
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Ленсоветовский, 6",44.3,4/5,823,3550000,2,5,1963,59.759691,30.472283
"Россия, Санкт-Петербург, Суворовский проспект, 30",231.0,6/7,3037,24000000,9,,,59.93758,30.373621
"Россия, Санкт-Петербург, посёлок Парголово, улица Николая Рубцова, 5",23.2,20/27,5864,2640000,0,28,2018,60.075986,30.343797
"Россия, Санкт-Петербург, Заставская улица, 44, подъезд 1",27.4,5/12,6277,5600000,0,12,2016,59.888325,30.317323
"Россия, Санкт-Петербург, проспект Ветеранов, 171к5",24.0,9/12,743,3050000,0,13,2017,59.841975,30.113127
"Россия, Санкт-Петербург, улица Глинки, 6",73.8,1/3,259,10700000,2,4,1839,59.924424,30.298854
"Россия, Ленинградская область, Ломоносовский район, Аннинское городское поселение, деревня Куттузи, Уланская улица, 3",76.0,12/12,6132,5000000,3,13,2016,59.746823,30.063783
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, жилой комплекс Шушары 463",35.7,12/12,5994,2950000,1,12,2014,59.810776,30.359472
"Россия, Санкт-Петербург, Комендантский проспект, 53к4",69.3,24/25,3518,7800000,2,24,2010,60.032425,30.238712
"Россия, Санкт-Петербург, улица Адмирала Черокова, 18к3",34.1,5/20,4795,4700000,1,19,2014,59.851851,30.142179
"Россия, Санкт-Петербург, улица Красуцкого, 3М",92.0,9/16,5316,17500000,3,19,2015,59.903065,30.315042
"Россия, Санкт-Петербург, проспект Маршака, 28к1",33.0,11/19,8746,3750000,1,19,2017,60.025853,30.454397
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Вишерская улица, 16",53.0,18/20,4102,5850000,2,20,2012,59.806097,30.374375
"Россия, Санкт-Петербург, Будапештская улица, 17к3",52.8,10/10,2339,7000000,2,12,2008,59.865424,30.370764
"Россия, Санкт-Петербург, 26-я линия В.О., 7",36.0,2/10,2797,6299000,1,,,59.928879,30.26037
"Россия, Санкт-Петербург, Лабораторный проспект, 16",42.5,2/12,4527,4500000,1,12,1998,59.981577,30.384113
"Россия, Санкт-Петербург, Туристская улица",85.0,7/16,5026,13500000,3,16,2011,59.99701,30.208088
"Россия, Санкт-Петербург, Шуваловский проспект, 61к2, подъезд 3",40.0,4/14,646,4900000,1,17,1998,60.024828,30.222237
"Россия, Санкт-Петербург, Смольный проспект, 17",166.0,6/7,2443,37700000,4,10,2017,59.944292,30.39651
"Россия, Санкт-Петербург, Заставская улица, 44, подъезд 1",27.4,5/12,6277,5600000,0,12,2016,59.888325,30.317323
"Россия, Санкт-Петербург, Выборгское шоссе, 5к1В, подъезд 5",153.0,10/10,961,16000000,4,10,1999,60.040627,30.318904
"Россия, Санкт-Петербург, Екатерининский проспект, 2",42.0,10/19,1586,4800000,1,25,2017,59.977976,30.436638
"Россия, Санкт-Петербург, Народная улица, 86",30.4,5/5,489,2900000,1,5,1962,59.88567,30.483251
"Россия, Санкт-Петербург, Ново-Александровская улица, 14",67.0,16/18,1371,8100000,2,19,2013,59.865488,30.464656
"Россия, Санкт-Петербург, Пионерская улица, 50",86.0,7/10,4,16950000,3,14,2012,59.963539,30.273171
"Россия, Санкт-Петербург, проспект Королёва, 73",66.1,5/20,4264,5990000,2,20,2017,60.036429,30.237373
"Россия, Санкт-Петербург, Казначейская улица, 1/61",69.8,4/5,10233,7700000,3,,,59.927414,30.314368
"Россия, Санкт-Петербург, Кемская улица, 14",227.0,2/7,182,59900000,5,7,2006,59.973401,30.263047
"Россия, Санкт-Петербург, проспект Косыгина, 30к3",58.0,4/9,4700,5950000,3,,,59.947297,30.497067
"Россия, Санкт-Петербург, Среднерогатская улица, 11",112.1,23/24,5145,11800000,4,26,2017,59.822711,30.33308
"Россия, Санкт-Петербург, улица Коллонтай, 5/1",37.0,18/25,2548,5100000,1,25,2013,59.913144,30.449996
"Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, жилой комплекс Новый Оккервиль",59.4,1/9,5255,5350000,3,,,59.914899,30.508952
"Россия, Санкт-Петербург, Песочная набережная, 18",168.0,3/8,1471,45500000,3,11,2006,59.972775,30.291326
"Россия, Санкт-Петербург, Комендантский проспект, 16к1",85.2,4/9,9460,11500000,3,16,2003,60.009741,30.255888
"Россия, Санкт-Петербург, Московский проспект, 42/27",161.7,4/5,353,16500000,4,2,1899,59.914155,30.318608
"Россия, Санкт-Петербург, Итальянская улица, 11",91.5,2/5,3971,24500000,4,5,1846,59.936363,30.332514
"Россия, Санкт-Петербург, проспект Энгельса, 96",43.5,5/9,2136,5300000,2,9,1962,60.025215,30.317458
"Россия, Санкт-Петербург, Богатырский проспект, 63",62.6,8/18,106,8540000,2,18,2010,60.008698,30.202132
"Россия, Санкт-Петербург, улица Оптиков",93.2,9/12,1220,12600000,3,,,59.999287,30.2253
"Россия, Санкт-Петербург, Морской проспект, 29",109.9,6/7,3419,44920800,3,7,2017,59.971834,30.263559
"Россия, Санкт-Петербург, проспект Королёва, 65",53.0,23/25,1904,7900000,2,25,2011,60.03354,30.242036
"Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, жилой комплекс Новый Оккервиль",70.2,22/22,7863,8700000,1,24,2007,59.914899,30.508952
"Россия, Санкт-Петербург, Корпусная улица, 9",75.0,4/10,647,18000000,1,12,2013,59.962751,30.287697
"Россия, Санкт-Петербург, территория Сосновая Поляна",35.5,5/15,3731,3300000,1,,,59.835247,30.154567
"Россия, Санкт-Петербург, Дворцовая площадь",31.6,8/21,2024,3600000,0,21,2016,59.939095,30.315868
"Россия, Санкт-Петербург, посёлок Парголово, улица Валерия Гаврилина, 15",35.0,18/24,5622,3750000,1,27,2017,60.080394,30.334832
"Россия, Санкт-Петербург, набережная реки Оккервиль, 8",74.2,4/10,3181,7300000,3,10,1993,59.924307,30.459796
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шоссе в Лаврики, 89",39.5,18/18,1125,3750000,1,19,2017,60.06654,30.45685
"Россия, Санкт-Петербург, Народная улица, 20",73.0,23/25,4904,10700000,2,26,2013,59.881932,30.464602
"Россия, Санкт-Петербург, аллея Поликарпова, 5",59.6,7/9,6979,6000000,3,9,1976,60.008878,30.289485
"Россия, Санкт-Петербург, улица Оптиков",36.7,6/25,2220,3850000,0,25,2009,59.999287,30.2253
"Россия, Санкт-Петербург, проспект Наставников, 14",50.0,7/12,3853,4895000,2,,,59.941213,30.488623
"Россия, Санкт-Петербург, улица Ольминского, 5",44.2,7/17,589,6300000,1,17,2005,59.900168,30.424807
"Россия, Санкт-Петербург, улица Добровольцев, 62",30.3,6/9,3613,3500000,1,,,59.825873,30.16779
"Россия, Санкт-Петербург, Комендантский проспект, 69",26.4,5/21,3286,3200000,0,27,2017,60.039413,30.224294
"Россия, Санкт-Петербург, Большой Сампсониевский проспект, 108",53.3,6/7,3519,6500000,2,9,1956,59.995557,30.330268
"Россия, Санкт-Петербург, улица Есенина, 8к1",65.0,4/9,1799,7600000,3,9,1978,60.038456,30.327995
"Россия, Санкт-Петербург, проспект Пархоменко, 34",42.0,3/18,6281,6900000,1,19,2011,59.997986,30.352915
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шоссе в Лаврики, 85",74.6,12/18,5475,5500000,3,18,2015,60.064358,30.457973
"Россия, Санкт-Петербург, улица Маршала Новикова, 2к1",52.2,1/12,3777,5600000,2,12,1987,60.009206,30.26585
"Россия, Санкт-Петербург, улица Маршала Тухачевского, 23",48.4,2/16,2933,4970000,1,16,2017,59.968263,30.428346
"Россия, Санкт-Петербург, Гороховая улица, 34",188.0,2/4,4391,23000000,7,4,1865,59.929082,30.32151
"Россия, Санкт-Петербург, Октябрьская набережная, 64к1",44.0,5/9,2673,5000000,2,9,1973,59.880794,30.454182
"Россия, Ленинградская область, Всеволожский район, Мурино, Оборонная улица, 2к3",31.5,4/17,825,2950000,1,17,2007,60.047205,30.463138
"Россия, Санкт-Петербург, посёлок Парголово, улица Валерия Гаврилина, 13к1",20.6,12/23,5720,3000000,0,28,2017,60.079639,30.33608
"Россия, Санкт-Петербург, Большеохтинский проспект, 9",112.0,18/21,10234,27000000,3,21,2010,59.948172,30.410883
"Россия, Санкт-Петербург, улица Ленсовета, 43к3, подъезд 1",45.3,6/16,745,7550000,1,19,2008,59.842766,30.328903
"Россия, Санкт-Петербург, Загородный проспект, 12",105.0,4/5,4598,10200000,3,5,1880,59.926684,30.344524
"Россия, Санкт-Петербург, Гражданский проспект, 36",46.1,10/13,6138,3890000,2,24,2004,60.010938,30.394138
"Россия, Санкт-Петербург, Ленинский проспект, 82к2",43.0,16/23,5996,5700000,1,22,2014,59.859185,30.196033
"Россия, Санкт-Петербург, Петергоф, Парковая улица, 18",66.4,1/5,5865,4990000,3,5,2013,59.858616,29.93571
"Россия, Санкт-Петербург, Дачный проспект, 23к5",53.7,2/3,261,6395000,2,3,1949,59.838123,30.256103
"Россия, Санкт-Петербург, проспект Пархоменко, 34",42.0,3/18,6281,6900000,1,19,2011,59.997986,30.352915
"Россия, Ленинградская область, Всеволожский район, Мурино, Петровский бульвар, 7, подъезд 3",22.0,9/15,4797,2250000,0,15,2016,60.055385,30.432101
"Россия, Санкт-Петербург, Прилукская улица, 20",113.0,9/9,2340,23000000,4,10,2018,59.909847,30.349214
"Россия, Санкт-Петербург, Богатырский проспект, 63",57.0,5/18,3040,6500000,2,18,2010,60.008698,30.202132
"Россия, Санкт-Петербург, проспект Обуховской Обороны, 138к2",25.0,22/35,4529,3550000,0,36,2012,59.845785,30.484715
"Россия, Санкт-Петербург, Пискарёвский проспект, 10",32.0,7/9,491,4100000,0,,,59.964863,30.408413
"Россия, Санкт-Петербург, Ленинский проспект, 57к1",41.8,12/17,6990,4300000,1,17,2010,59.861756,30.175569
"Россия, Санкт-Петербург, проспект Обуховской Обороны, 90",61.4,4/5,4104,5200000,2,5,1877,59.892942,30.43927
"Россия, Санкт-Петербург, улица Невзоровой, 12",30.9,2/20,4266,3890000,1,5,1969,59.889918,30.416938
"Россия, Ленинградская область, Всеволожский район, Мурино, Графская улица, 8",52.3,11/17,1694,5200000,2,18,2017,60.063563,30.431293
"Россия, Санкт-Петербург, Измайловский проспект, 16/30",230.0,2/6,1587,24000000,7,7,1911,59.911448,30.308232
"Россия, Санкт-Петербург, Витебский проспект",120.0,15/16,2798,14000000,3,17,2010,59.851783,30.365626
"Россия, Санкт-Петербург, Пионерская улица, 50",78.1,6/11,1374,13056000,2,14,2012,59.963539,30.273171
"Россия, Ленинградская область, Всеволожский район, Мурино, Воронцовский бульвар, 12",25.7,16/22,5320,2820000,0,23,2016,60.057967,30.422471
"Россия, Санкт-Петербург, Комендантский проспект, 53к1",66.0,2/24,183,7850000,2,25,2008,60.030272,30.234723
"Россия, Санкт-Петербург, улица Чекистов, 22",65.0,12/12,109,6900000,3,12,2000,59.843042,30.170296
"Россия, Санкт-Петербург, Басков переулок, 2",115.5,7/9,3422,32401215,3,10,2018,59.939767,30.353184
"Россия, Санкт-Петербург, Невский проспект, 146",83.0,5/5,9462,11500000,2,5,1934,59.929078,30.370854
"Россия, Санкт-Петербург, Суздальский проспект, 9",11.0,1/9,8747,1450000,0,9,1985,60.066163,30.310523
"Россия, Санкт-Петербург, Дивенская улица, 11",76.0,3/8,5256,19700000,2,8,2015,59.960692,30.324456
"Россия, Санкт-Петербург, Пионерская улица, 50",125.0,8/11,5147,19150000,3,14,2012,59.963539,30.273171
"Россия, Санкт-Петербург, Ланское шоссе, 14к1",94.0,14/25,4703,15050000,3,25,2004,59.993847,30.309436
"Россия, Санкт-Петербург, улица Корнея Чуковского, 3к5",41.0,15/24,2444,4260000,1,24,2017,60.027215,30.456329
"Россия, Санкт-Петербург, Малая Зеленина улица, 1/22",74.0,9/10,962,24500000,2,10,2016,59.962435,30.282657
"Россия, Санкт-Петербург, Среднерогатская улица, 11",102.2,3/26,6,15300000,3,26,2017,59.822711,30.33308
"Россия, Санкт-Петербург, 3-я линия Васильевского острова, 46",34.2,6/6,7865,4390000,2,6,1911,59.946153,30.281445
"Россия, Санкт-Петербург, проспект Ветеранов, 169к2",32.0,1/12,2137,3700000,1,13,2016,59.838249,30.114439
"Россия, Санкт-Петербург, Пушкин, Оранжерейная улица, 51А",31.4,2/4,3182,4000000,1,4,1961,59.724437,30.416533
"Россия, Санкт-Петербург, Московский проспект, 106",66.4,2/7,1475,7500000,2,7,1938,59.894513,30.32027
"Россия, Санкт-Петербург, проспект Художников, 15А",30.7,1/9,2025,3150000,1,9,1974,60.039535,30.347183
"Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, жилой комплекс Новый Оккервиль",46.6,1/9,4905,5200000,2,,,59.914899,30.508952
"Россия, Ленинградская область, Всеволожский район, Мурино, Оборонная улица, 37к1",25.0,10/12,5627,2850000,0,13,2017,60.042838,30.463812
"Россия, Санкт-Петербург, территория Сосновая Поляна",44.0,3/9,6982,4650000,2,9,1971,59.835247,30.154567
