area,bank_500,bus_stop_500,cafe_500,cinema_500,distance_to_center,distance_to_subway,floor,floors_total,government_500,hospital_500,hotel_500,leisure_500,mean_salary,median_salary,nightlife_500,office_500,point_of_interest_500,price_per_m,rooms,school_500,shop_500,subway_station_500,tram_stop_500,univercity_500,vacancy_500
44.4,2,10,1,0,1712,3800,5,9,1,0,0,0,38,30,0,1,0,63063,2,1,4,0,2,0,0
86.0,2,1,0,0,2907,2300,10,12,0,0,0,0,40,32,2,0,1,73837,2,0,6,0,0,1,22
72.8,2,2,3,0,8718,1900,8,14,0,0,0,0,38,34,0,1,2,100274,2,1,8,0,2,0,24
42.8,2,1,2,0,5642,700,1,5,0,2,1,2,37,32,0,0,0,56074,2,0,18,0,0,0,19
44.0,1,9,1,0,1845,3700,5,5,1,0,0,0,35,30,0,1,0,48863,2,1,5,0,4,0,0
76.0,3,5,6,0,10826,3900,3,6,2,0,1,0,33,25,0,3,8,109210,2,0,9,0,0,0,4
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
76.0,4,12,10,0,9475,2300,24,25,3,1,0,0,41,41,1,2,9,115789,2,0,7,0,6,3,78
82.0,0,0,2,0,5028,900,14,17,1,1,4,2,41,35,0,1,0,84146,2,0,11,0,0,0,4
35.0,4,15,4,0,9077,2500,1,3,0,1,1,0,38,31,1,5,8,44285,2,0,11,0,5,0,31
44.0,1,5,2,0,5330,600,1,5,0,0,0,0,36,30,0,0,0,55681,2,0,9,0,2,0,2
45.0,0,0,0,0,16827,19800,4,5,0,0,0,0,37,32,0,0,0,44444,2,0,0,0,0,0,0
66.0,0,14,4,0,2275,5900,16,20,0,0,0,0,32,30,0,0,4,90909,2,0,12,0,4,0,0
78.2,0,0,1,0,2434,4100,3,21,0,0,0,1,37,30,0,0,0,88874,2,2,26,0,0,0,2
52.0,0,0,0,0,17296,20400,3,5,0,0,0,0,35,32,0,0,0,42307,2,0,0,0,0,0,0
60.0,0,5,2,0,2695,3500,22,24,0,0,0,0,36,32,0,0,1,108333,2,0,9,0,2,0,1
86.0,2,1,0,0,2907,2300,10,12,0,0,0,0,40,32,2,0,1,73837,2,0,6,0,0,1,22
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
44.4,2,10,1,0,1712,3800,5,9,1,0,0,0,38,30,0,1,0,63063,2,1,4,0,2,0,0
72.8,2,2,3,0,8718,1900,8,14,0,0,0,0,38,34,0,1,2,100274,2,1,8,0,2,0,24
77.0,0,0,1,0,2572,4000,15,19,0,0,0,0,36,32,0,0,0,81558,2,1,20,0,0,0,2
44.0,1,9,1,0,1845,3700,5,5,1,0,0,0,35,30,0,1,0,48863,2,1,5,0,4,0,0
78.2,0,0,1,0,2434,4100,3,21,0,0,0,1,37,30,0,0,0,88874,2,2,26,0,0,0,2
52.0,0,0,0,0,17296,20400,3,5,0,0,0,0,35,32,0,0,0,42307,2,0,0,0,0,0,0
44.0,1,5,2,0,5330,600,1,5,0,0,0,0,36,30,0,0,0,55681,2,0,9,0,2,0,2
76.0,4,12,10,0,9475,2300,24,25,3,1,0,0,41,41,1,2,9,115789,2,0,7,0,6,3,78
45.0,0,0,0,0,16827,19800,4,5,0,0,0,0,37,32,0,0,0,44444,2,0,0,0,0,0,0
83.0,2,3,0,0,2196,4900,6,9,0,0,0,0,38,32,3,2,0,84216,2,0,23,0,0,0,5
82.0,0,0,2,0,5028,900,14,17,1,1,4,2,41,35,0,1,0,84146,2,0,11,0,0,0,4
77.0,0,0,1,0,2572,4000,15,19,0,0,0,0,36,32,0,0,0,81558,2,1,20,0,0,0,2
46.1,1,2,0,0,2827,4200,4,9,0,0,0,0,32,30,0,0,0,54229,2,0,1,0,0,0,0
44.0,1,9,1,0,1845,3700,5,5,1,0,0,0,35,30,0,1,0,48863,2,1,5,0,4,0,0
60.0,0,5,2,0,2695,3500,22,24,0,0,0,0,36,32,0,0,1,108333,2,0,9,0,2,0,1
44.4,2,10,1,0,1712,3800,5,9,1,0,0,0,38,30,0,1,0,63063,2,1,4,0,2,0,0
86.0,2,1,0,0,2907,2300,10,12,0,0,0,0,40,32,2,0,1,73837,2,0,6,0,0,1,22
110.0,3,10,9,0,10938,4000,8,9,3,0,2,0,33,25,1,2,7,68181,2,2,8,0,0,1,7
83.0,2,3,0,0,2196,4900,6,9,0,0,0,0,38,32,3,2,0,84216,2,0,23,0,0,0,5
45.0,0,0,0,0,16827,19800,4,5,0,0,0,0,37,32,0,0,0,44444,2,0,0,0,0,0,0
44.0,1,5,2,0,5330,600,1,5,0,0,0,0,36,30,0,0,0,55681,2,0,9,0,2,0,2
78.2,0,0,1,0,2434,4100,3,21,0,0,0,1,37,30,0,0,0,88874,2,2,26,0,0,0,2
76.0,4,12,10,0,9475,2300,24,25,3,1,0,0,41,41,1,2,9,115789,2,0,7,0,6,3,78
54.0,2,8,0,0,445,3400,12,12,0,0,0,0,32,30,1,0,2,50000,2,0,17,0,5,0,1
83.0,3,7,5,0,8316,1500,5,16,0,0,0,0,38,31,0,4,0,87951,2,1,8,0,5,0,8
110.0,3,10,9,0,10938,4000,8,9,3,0,2,0,33,25,1,2,7,68181,2,2,8,0,0,1,7
44.4,2,10,1,0,1712,3800,5,9,1,0,0,0,38,30,0,1,0,63063,2,1,4,0,2,0,0
77.0,0,0,1,0,2572,4000,15,19,0,0,0,0,36,32,0,0,0,81558,2,1,20,0,0,0,2
46.1,1,2,0,0,2827,4200,4,9,0,0,0,0,32,30,0,0,0,54229,2,0,1,0,0,0,0
