area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
109.4,3,0,59,20,6,1,0,0,369,4929,1265,1100,4,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,179140,2,0,0,19,3,0,0,0,0,0,0,92,1
61.1,8,4,99,28,46,10,0,0,122,3886,690,1300,4,7,3,1,1,1,4,0,2,0,44,44,34,30,9,1,37,3,27,9,189656,2,4,0,108,23,0,0,13,2,8,1,217,135
79.5,8,2,62,16,51,11,0,0,172,3201,829,1700,7,10,3,0,1,1,5,1,1,0,55,59,50,56,4,0,41,28,22,6,196226,2,1,0,131,23,0,0,3,0,4,1,38,12
98.0,16,1,54,24,110,27,1,0,57,2296,1035,500,4,6,4,0,8,3,7,4,4,0,63,50,47,42,9,2,17,2,88,10,139795,2,0,0,181,61,1,1,14,6,0,0,211,32
55.6,32,11,78,26,272,87,1,0,235,1200,417,2000,3,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,51241,2,5,1,434,144,3,1,0,0,1,0,167,49
27.0,1,0,59,12,9,2,0,0,66,7846,1924,3300,9,22,0,0,0,0,0,0,1,1,49,60,44,55,2,0,1,0,5,2,102222,2,0,0,71,18,0,0,12,4,0,0,32,5
41.9,32,11,78,26,272,87,1,0,235,1200,417,1400,3,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,76303,2,5,1,434,144,3,1,0,0,1,0,167,49
80.0,19,6,80,23,85,12,1,0,142,4736,628,900,5,6,0,0,3,1,4,3,1,0,64,62,56,58,13,1,22,2,21,4,137500,2,2,0,180,26,0,0,12,4,1,1,181,42
56.0,53,17,97,26,357,131,3,1,153,1714,243,300,5,9,8,3,8,4,163,60,6,2,49,51,40,42,102,17,235,90,46,11,243750,2,8,5,1028,344,2,1,6,0,0,0,343,97
66.0,15,0,53,6,58,13,0,0,174,4806,722,1100,4,12,0,0,2,2,4,0,3,0,67,59,55,50,8,3,21,2,20,0,212121,2,2,0,89,24,0,0,10,0,1,1,203,52
